i,j,dm32_no,precision,bf,log10_bf,sigma,rmse,rmse_sigma,frac_rmse,frac_sigma
5,25,2.264516,0.845161,-68.501560,-1.835700,-2.447424,0.522994,0.444610,0.007635,0.181665
5,26,2.264516,0.870968,-64.522274,-1.809710,-2.426102,0.440635,0.393245,0.006829,0.162089
5,27,2.264516,0.896774,-60.728667,-1.783394,-2.404380,0.371564,0.346330,0.006118,0.144041
5,28,2.264516,0.922581,-57.120555,-1.756792,-2.382284,0.313778,0.303953,0.005493,0.127589
5,29,2.264516,0.948387,-53.696271,-1.729944,-2.359841,0.265535,0.266077,0.004945,0.112752
5,30,2.264516,0.974194,-50.452886,-1.702886,-2.337076,0.225328,0.232554,0.004466,0.099506
5,31,2.264516,1.000000,-47.386417,-1.675654,-2.314014,0.191865,0.203146,0.004049,0.087789
6,0,2.277419,0.200000,-117.242787,-2.069086,-2.633251,4.834036,1.367694,0.041231,0.519394
6,1,2.277419,0.225806,-114.977632,-2.060613,-2.626675,4.326251,1.317267,0.037627,0.501496
6,2,2.277419,0.251613,-112.539309,-2.051304,-2.619436,3.823646,1.260991,0.033976,0.481398
6,3,2.277419,0.277419,-109.921646,-2.041083,-2.611471,3.341645,1.199516,0.030400,0.459326
6,4,2.277419,0.303226,-107.142083,-2.029960,-2.602781,2.893852,1.133951,0.027009,0.435669
6,5,2.277419,0.329032,-104.222915,-2.017963,-2.593385,2.489404,1.065650,0.023885,0.410911
6,6,2.277419,0.354839,-101.183750,-2.005111,-2.583290,2.132239,0.995979,0.021073,0.385547
6,7,2.277419,0.380645,-98.040791,-1.991407,-2.572495,1.821961,0.926159,0.018584,0.360024
6,8,2.277419,0.406452,-94.808791,-1.976849,-2.560989,1.555294,0.857182,0.016405,0.334707
6,9,2.277419,0.432258,-91.503026,-1.961435,-2.548767,1.327468,0.789788,0.014507,0.309871
6,10,2.277419,0.458065,-88.140285,-1.945174,-2.535825,1.133267,0.724491,0.012858,0.285702
